variable	Eubacterium	Blautia	Bifidobacterium	Faecalibacterium	Ruminococcus	Bacteroides	Var.8	Dorea	Coprococcus	Collinsella	Prevotella	Other
WF_77	0.0769230769230769	0.366778149386845	0.0289855072463768	0.0680044593088071	0.0356744704570792	0.0245261984392419	0.0512820512820513	0.0668896321070234	0.0379041248606466	0.0434782608695652	0.00891861761426979	0.190635451505017
WF_31	0.139380530973451	0.0707964601769911	0.283185840707965	0.0707964601769911	0.0176991150442478	0.0774336283185841	0.0442477876106195	0.0165929203539823	0.0243362831858407	0.00884955752212389	0.00442477876106195	0.242256637168142
WF_45	0	0	0	0	0	0	0	0	0	0	0	1
WF_58	0.0419889502762431	0.289502762430939	0.139226519337017	0.152486187845304	0.0364640883977901	0.061878453038674	0.0950276243093923	0.050828729281768	0.0176795580110497	0.050828729281768	0.00220994475138122	0.061878453038674
WF_41	0.145413870246085	0.136465324384787	0.0402684563758389	0.121923937360179	0.0604026845637584	0.16331096196868	0.191275167785235	0.0413870246085011	0.00894854586129754	0.00782997762863535	0	0.0827740492170022
WF_37	0.177257525083612	0.0802675585284281	0.0858416945373467	0.181716833890747	0.124860646599777	0.139353400222965	0.0289855072463768	0.0234113712374582	0.0579710144927536	0.00668896321070234	0	0.0936454849498328
WF_4	0.124439461883408	0.124439461883408	0.358744394618834	0.174887892376682	0.0526905829596413	0.00448430493273543	0.0739910313901345	0.0190582959641256	0.015695067264574	0.0381165919282511	0	0.0134529147982063
WF_83	0.107538802660754	0.298226164079823	0.00110864745011086	0.0521064301552106	0.0909090909090909	0.169623059866962	0.0665188470066519	0	0.0565410199556541	0	0	0.157427937915743
WF_71	0.27728285077951	0.185968819599109	0.0367483296213808	0.141425389755011	0.170378619153675	0.0144766146993318	0.0311804008908686	0.0534521158129176	0.0334075723830735	0	0	0.0556792873051225
WF_35	0.212694877505568	0.141425389755011	0.161469933184855	0.140311804008909	0.0579064587973274	0.0178173719376392	0.0456570155902004	0.0267260579064588	0.0701559020044543	0.0155902004454343	0	0.110244988864143
WF_9	0.166481687014428	0.112097669256382	0.0321864594894562	0.13984461709212	0.143174250832408	0.187569367369589	0.0366259711431743	0.0110987791342952	0	0.0166481687014428	0	0.154273029966704
WF_23	0.0704697986577181	0.0357941834451902	0.436241610738255	0.108501118568233	0	0.197986577181208	0.0380313199105145	0.00559284116331096	0.00559284116331096	0.0111856823266219	0	0.0906040268456376
WF_13	0.143337066069429	0.097424412094065	0.368421052631579	0.038073908174692	0.109742441209407	0.0179171332586786	0.0268756998880179	0.0201567749160134	0	0.0447928331466965	0	0.133258678611422
